66 : 1688316733.1781232, 1688316748.4451602, 15.26703691482544
316 : 1688316733.1962442, 1688316748.4454913, 15.249247074127197
100 : 1688316733.1828032, 1688316748.4468796, 15.264076471328735
272 : 1688316733.1846879, 1688316748.4470007, 15.262312889099121
73 : 1688316733.1850038, 1688316748.4471126, 15.26210880279541
312 : 1688316733.1961439, 1688316748.4475386, 15.251394748687744
76 : 1688316733.2023654, 1688316748.447919, 15.245553493499756
150 : 1688316733.1791925, 1688316748.4480824, 15.268889904022217
313 : 1688316733.1962059, 1688316748.4484725, 15.252266645431519
278 : 1688316733.1848338, 1688316748.4487934, 15.263959646224976
18 : 1688316733.1789188, 1688316748.4490473, 15.27012848854065
288 : 1688316733.1753914, 1688316748.4493299, 15.273938417434692
474 : 1688316733.1947107, 1688316748.449881, 15.255170345306396
468 : 1688316733.1943176, 1688316748.4502723, 15.25595474243164
339 : 1688316733.1998923, 1688316748.450575, 15.250682830810547
341 : 1688316733.196671, 1688316748.4506233, 15.253952264785767
277 : 1688316733.1752884, 1688316748.4506571, 15.275368690490723
267 : 1688316733.1755009, 1688316748.4517705, 15.276269674301147
234 : 1688316733.1850762, 1688316748.4520755, 15.266999244689941
305 : 1688316733.1957552, 1688316748.4526358, 15.256880521774292
311 : 1688316733.20022, 1688316748.4531553, 15.25293517112732
390 : 1688316733.201842, 1688316748.4534411, 15.251599073410034
191 : 1688316733.1687338, 1688316748.4537613, 15.285027503967285
192 : 1688316733.1687667, 1688316748.4541273, 15.28536057472229
193 : 1688316733.1854925, 1688316748.4547377, 15.269245147705078
365 : 1688316733.2004082, 1688316748.455353, 15.254944801330566
484 : 1688316733.1954682, 1688316748.4557056, 15.260237455368042
21 : 1688316733.1949954, 1688316748.4565794, 15.261584043502808
435 : 1688316733.2032423, 1688316748.4568007, 15.25355839729309
392 : 1688316733.2012856, 1688316748.4569342, 15.255648612976074
335 : 1688316733.199854, 1688316748.4572003, 15.257346391677856
479 : 1688316733.1951299, 1688316748.4574633, 15.262333393096924
107 : 1688316733.1774926, 1688316748.4583542, 15.280861616134644
248 : 1688316733.1751323, 1688316748.4586377, 15.2835054397583
143 : 1688316733.167929, 1688316748.4588478, 15.290918827056885
332 : 1688316733.1965175, 1688316748.4589908, 15.262473344802856
142 : 1688316733.1678529, 1688316748.459123, 15.291270017623901
44 : 1688316733.176403, 1688316748.4592059, 15.282802820205688
389 : 1688316733.2010803, 1688316748.4593508, 15.258270502090454
47 : 1688316733.1782594, 1688316748.4594872, 15.281227827072144
23 : 1688316733.16585, 1688316748.4596727, 15.293822765350342
242 : 1688316733.169528, 1688316748.4598262, 15.290298223495483
123 : 1688316733.178418, 1688316748.461101, 15.28268313407898
148 : 1688316733.1982262, 1688316748.461322, 15.26309585571289
378 : 1688316733.1923125, 1688316748.4614794, 15.269166946411133
78 : 1688316733.1667786, 1688316748.4616828, 15.294904232025146
422 : 1688316733.1931598, 1688316748.4618487, 15.268688917160034
167 : 1688316733.1833065, 1688316748.4619997, 15.278693199157715
333 : 1688316733.19982, 1688316748.462218, 15.26239800453186
53 : 1688316733.1807415, 1688316748.4627862, 15.282044649124146
77 : 1688316733.166738, 1688316748.4629815, 15.29624342918396
291 : 1688316733.1703491, 1688316748.4632022, 15.292853116989136
202 : 1688316733.1741722, 1688316748.4636817, 15.289509534835815
268 : 1688316733.1700535, 1688316748.4644997, 15.294446229934692
71 : 1688316733.1666853, 1688316748.4646673, 15.297981977462769
190 : 1688316733.1787267, 1688316748.4656405, 15.286913871765137
440 : 1688316733.1934335, 1688316748.4661708, 15.272737264633179
29 : 1688316733.1659408, 1688316748.4664016, 15.300460815429688
283 : 1688316733.1848783, 1688316748.4666126, 15.281734228134155
170 : 1688316733.1833823, 1688316748.46688, 15.28349781036377
169 : 1688316733.183418, 1688316748.4670937, 15.28367567062378
429 : 1688316733.1982636, 1688316748.4677591, 15.269495487213135
469 : 1688316733.1943955, 1688316748.4680731, 15.273677587509155
89 : 1688316733.1828861, 1688316748.4686055, 15.285719394683838
318 : 1688316733.1968153, 1688316748.4694397, 15.272624492645264
280 : 1688316733.180433, 1688316748.4695082, 15.289075136184692
59 : 1688316733.180861, 1688316748.4698977, 15.289036750793457
42 : 1688316733.1661594, 1688316748.4701245, 15.303965091705322
259 : 1688316733.1698363, 1688316748.4702506, 15.300414323806763
55 : 1688316733.1949522, 1688316748.471481, 15.27652883529663
261 : 1688316733.1754665, 1688316748.4719255, 15.296458959579468
460 : 1688316733.1939144, 1688316748.4721234, 15.27820897102356
38 : 1688316733.1661253, 1688316748.4722948, 15.306169509887695
241 : 1688316733.1839235, 1688316748.472458, 15.28853440284729
414 : 1688316733.2028167, 1688316748.472626, 15.269809246063232
412 : 1688316733.1980574, 1688316748.472909, 15.274851560592651
225 : 1688316733.1746671, 1688316748.4740236, 15.299356460571289
252 : 1688316733.1696904, 1688316748.4741507, 15.304460287094116
231 : 1688316733.1813836, 1688316748.4755185, 15.294134855270386
171 : 1688316733.1833446, 1688316748.475753, 15.292408466339111
361 : 1688316733.1921794, 1688316748.4765348, 15.284355401992798
431 : 1688316733.19328, 1688316748.4770038, 15.283723831176758
254 : 1688316733.1697366, 1688316748.4779532, 15.308216571807861
357 : 1688316733.1921406, 1688316748.478368, 15.286227464675903
56 : 1688316733.1774487, 1688316748.4784963, 15.301047563552856
275 : 1688316733.170111, 1688316748.4789865, 15.308875560760498
104 : 1688316733.1672633, 1688316748.479202, 15.311938762664795
162 : 1688316733.1784954, 1688316748.479542, 15.30104660987854
